source_team_rank,source_team,source_player_id,real_nickname,inspired_name,region,role,archetype,drama_title,personality,visual_identity,face_safety_note,current_team,image_status,original_reference_required,original_reference_image_path,reference_visual_anchor,similarity_target,likeness_comparison_required,generation_channel,revision_note
5,FURIA,hltv-ranking-2026-06-01:FURIA:FalleN,FalleN,Falleno,Brazil,IGL / AWPer,Brazilian legendary mentor IGL,Brazilian legendary mentor IGL,"Mature leader, calm teacher, clutch caller","Mature Brazilian captain, older face impression, possible stubble, mentor posture.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FURIA,sample_pending,YES,references/originals/FURIA/FalleN.jpg,"Mature Brazilian captain, older face impression, possible stubble, mentor posture.","Medium-high archetype recognition through age, mentor aura, Brazilian captain silhouette.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with reference image; current built-in draft is not final.
5,FURIA,hltv-ranking-2026-06-01:FURIA:yuurih,yuurih,Yuri-H,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FURIA,prompt_only,YES,references/originals/FURIA/yuurih.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
5,FURIA,hltv-ranking-2026-06-01:FURIA:YEKINDAR,YEKINDAR,Yekindor,Latvia,entry,Latvia aggressive entry posture,Latvia aggressive entry posture,"Fictionalized entry persona built from region, role, body language and playstyle, not facial cloning.","Latvia entry archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FURIA,prompt_only,YES,references/originals/FURIA/YEKINDAR.jpg,"Latvia entry archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
5,FURIA,hltv-ranking-2026-06-01:FURIA:KSCERATO,KSCERATO,K-Serat,Brazil,star rifler / lurker,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized star rifler / lurker persona built from region, role, body language and playstyle, not facial cloning.","Brazil star rifler / lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FURIA,prompt_only,YES,references/originals/FURIA/KSCERATO.jpg,"Brazil star rifler / lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
5,FURIA,hltv-ranking-2026-06-01:FURIA:molodoy,molodoy,Molody,Kazakhstan,AWPer,Kazakhstan sniper focus,Kazakhstan sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Kazakhstan AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FURIA,prompt_only,YES,references/originals/FURIA/molodoy.jpg,"Kazakhstan AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
6,Aurora,hltv-ranking-2026-06-01:Aurora:MAJ3R,MAJ3R,MajorX,Turkey,IGL,Turkey tactical commander,Turkey tactical commander,"Fictionalized IGL persona built from region, role, body language and playstyle, not facial cloning.","Turkey IGL archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Aurora,prompt_only,YES,references/originals/Aurora/MAJ3R.jpg,"Turkey IGL archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
6,Aurora,hltv-ranking-2026-06-01:Aurora:XANTARES,XANTARES,Xantor,Turkey,star rifler,Turkish pure-firepower rifler,Turkish pure-firepower rifler,"Hard pressure, confident first bullet","Turkish/Anatolian strong rifler, broad-shouldered pressure, intense expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Aurora,sample_pending,YES,references/originals/Aurora/XANTARES.jpg,"Turkish/Anatolian strong rifler, broad-shouldered pressure, intense expression.",Medium-high archetype recognition through hard rifler posture and Turkish styling.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with reference image; current built-in draft is not final.
6,Aurora,hltv-ranking-2026-06-01:Aurora:woxic,woxic,Woxik,Turkey,AWPer,Turkey sniper focus,Turkey sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Turkey AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Aurora,prompt_only,YES,references/originals/Aurora/woxic.jpg,"Turkey AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
6,Aurora,hltv-ranking-2026-06-01:Aurora:soulfly,soulfly,Soul-F,Turkey,rifler,Turkey rifle star posture,Turkey rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Turkey rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Aurora,prompt_only,YES,references/originals/Aurora/soulfly.jpg,"Turkey rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
6,Aurora,hltv-ranking-2026-06-01:Aurora:Wicadia,Wicadia,Wikadia,Turkey,rifler,Turkey rifle star posture,Turkey rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Turkey rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Aurora,prompt_only,YES,references/originals/Aurora/Wicadia.jpg,"Turkey rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
7,Legacy,hltv-ranking-2026-06-01:Legacy:arT,arT,Arty,Brazil,IGL / entry,Brazilian chaos-art IGL,Brazilian chaos-art IGL,"Wild forward pressure, disruptive caller","Brazilian aggressive caller, more chaotic and wild than a standard captain.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Legacy,sample_pending,YES,references/originals/Legacy/arT.jpg,"Brazilian aggressive caller, more chaotic and wild than a standard captain.",Medium-high archetype recognition through chaos-entry posture and expression.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
7,Legacy,hltv-ranking-2026-06-01:Legacy:dumau,dumau,Dumao,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Legacy,prompt_only,YES,references/originals/Legacy/dumau.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
