inspired_name,real_nickname,period_team,start_year,end_year,jersey_description,source_url,prompt_key,generation_priority
NicoK,NiKo,Falcons,2026,Present,"Authentic Falcons 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,nicok-falcons-2026,current_reference
Tesesu,TeSeS,Falcons,2026,Present,"Authentic Falcons 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,tesesu-falcons-2026,current_reference
Moness,m0NESY,Falcons,2026,Present,"Authentic Falcons 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,moness-falcons-2026,sample_current
Kyo-S,kyousuke,Falcons,2026,Present,"Authentic Falcons 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,kyo-s-falcons-2026,current_reference
Falleno,FalleN,FURIA,2026,Present,"Authentic FURIA 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,falleno-furia-2026,sample_current
Yuri-H,yuurih,FURIA,2026,Present,"Authentic FURIA 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,yuri-h-furia-2026,current_reference
Yekindor,YEKINDAR,FURIA,2026,Present,"Authentic FURIA 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,yekindor-furia-2026,current_reference
K-Serat,KSCERATO,FURIA,2026,Present,"Authentic FURIA 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,k-serat-furia-2026,current_reference
Molody,molodoy,FURIA,2026,Present,"Authentic FURIA 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,molody-furia-2026,current_reference
MajorX,MAJ3R,Aurora,2026,Present,"Authentic Aurora 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,majorx-aurora-2026,current_reference
Xantor,XANTARES,Aurora,2026,Present,"Authentic Aurora 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,xantor-aurora-2026,sample_current
Woxik,woxic,Aurora,2026,Present,"Authentic Aurora 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,woxik-aurora-2026,current_reference
Soul-F,soulfly,Aurora,2026,Present,"Authentic Aurora 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,soul-f-aurora-2026,current_reference
Wikadia,Wicadia,Aurora,2026,Present,"Authentic Aurora 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,wikadia-aurora-2026,current_reference
Arty,arT,Legacy,2026,Present,"Authentic Legacy 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,arty-legacy-2026,sample_current
Dumao,dumau,Legacy,2026,Present,"Authentic Legacy 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,dumao-legacy-2026,current_reference
LattoX,latto,Legacy,2026,Present,"Authentic Legacy 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,lattox-legacy-2026,current_reference
Nis-S,n1ssim,Legacy,2026,Present,"Authentic Legacy 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,nis-s-legacy-2026,current_reference
Saad-Z,saadzin,Legacy,2026,Present,"Authentic Legacy 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,saad-z-legacy-2026,current_reference
Torzi,torzsi,MOUZ,2026,Present,"Authentic MOUZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,torzi-mouz-2026,sample_current
Sphinx,Spinx,MOUZ,2026,Present,"Authentic MOUZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,sphinx-mouz-2026,current_reference
XertionX,xertioN,MOUZ,2026,Present,"Authentic MOUZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,xertionx-mouz-2026,current_reference
Xelexa,xelex,MOUZ,2026,Present,"Authentic MOUZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,xelexa-mouz-2026,current_reference
BlitZed,bLitz,The MongolZ,2026,Present,"Authentic The MongolZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,blitzed-the-mongolz-2026,sample_current
Tekno,Techno,The MongolZ,2026,Present,"Authentic The MongolZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,tekno-the-mongolz-2026,current_reference
M-Zino,mzinho,The MongolZ,2026,Present,"Authentic The MongolZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,m-zino-the-mongolz-2026,current_reference
Nine-Ten,910,The MongolZ,2026,Present,"Authentic The MongolZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,nine-ten-the-mongolz-2026,current_reference
Cobra-Z,cobrazera,The MongolZ,2026,Present,"Authentic The MongolZ 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,cobra-z-the-mongolz-2026,current_reference
Snaks,Snax,GamerLegion,2026,Present,"Authentic GamerLegion 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,snaks-gamerlegion-2026,sample_current
R-Ez,REZ,GamerLegion,2026,Present,"Authentic GamerLegion 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,r-ez-gamerlegion-2026,current_reference
Tawson,Tauson,GamerLegion,2026,Present,"Authentic GamerLegion 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,tawson-gamerlegion-2026,current_reference
P-Rex,PR,GamerLegion,2026,Present,"Authentic GamerLegion 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,p-rex-gamerlegion-2026,current_reference
Hype-X,hypex,GamerLegion,2026,Present,"Authentic GamerLegion 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,hype-x-gamerlegion-2026,current_reference
Jaym,Jame,PARIVISION,2026,Present,"Authentic PARIVISION 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,jaym-parivision-2026,sample_current
Belchon,BELCHONOKK,PARIVISION,2026,Present,"Authentic PARIVISION 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,belchon-parivision-2026,current_reference
XieloX,xiELO,PARIVISION,2026,Present,"Authentic PARIVISION 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,xielox-parivision-2026,current_reference
Noto,nota,PARIVISION,2026,Present,"Authentic PARIVISION 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,noto-parivision-2026,current_reference
Zwei-H,zweih,PARIVISION,2026,Present,"Authentic PARIVISION 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,zwei-h-parivision-2026,current_reference
HooxiX,HooXi,Astralis,2026,Present,"Authentic Astralis 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,hooxix-astralis-2026,sample_current
Phazy,phzy,Astralis,2026,Present,"Authentic Astralis 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,phazy-astralis-2026,current_reference
Jabby,jabbi,Astralis,2026,Present,"Authentic Astralis 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,jabby-astralis-2026,current_reference
Staer,Staehr,Astralis,2026,Present,"Authentic Astralis 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,staer-astralis-2026,current_reference
Ryuu,ryu,Astralis,2026,Present,"Authentic Astralis 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,ryuu-astralis-2026,current_reference
Daemon,dem0n,FUT,2026,Present,"Authentic FUT 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,daemon-fut-2026,current_reference
Lawn-X,lauNX,FUT,2026,Present,"Authentic FUT 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,lawn-x-fut-2026,sample_current
Kraben,Krabeni,FUT,2026,Present,"Authentic FUT 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,kraben-fut-2026,current_reference
Cemtry,cmtry,FUT,2026,Present,"Authentic FUT 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,cemtry-fut-2026,current_reference
Dziugs,dziugss,FUT,2026,Present,"Authentic FUT 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,dziugs-fut-2026,current_reference
Huntor,huNter-,G2,2026,Present,"Authentic G2 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,huntor-g2-2026,current_reference
Nertzo,NertZ,G2,2026,Present,"Authentic G2 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,nertzo-g2-2026,current_reference
Sun-Pai,SunPayus,G2,2026,Present,"Authentic G2 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,sun-pai-g2-2026,sample_current
HeavyG,HeavyGod,G2,2026,Present,"Authentic G2 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,heavyg-g2-2026,current_reference
MatysX,MATYS,G2,2026,Present,"Authentic G2 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,matysx-g2-2026,current_reference
Frozin,frozen,FaZe,2026,Present,"Authentic FaZe 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,frozin-faze-2026,sample_current
Twizter,Twistzz,FaZe,2026,Present,"Authentic FaZe 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,twizter-faze-2026,current_reference
Brokai,broky,FaZe,2026,Present,"Authentic FaZe 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,brokai-faze-2026,current_reference
J-Cobb,jcobbb,FaZe,2026,Present,"Authentic FaZe 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,j-cobb-faze-2026,current_reference
Alex-6,alex666,B8,2026,Present,"Authentic B8 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,alex-6-b8-2026,current_reference
NPL-9,npl,B8,2026,Present,"Authentic B8 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,npl-9-b8-2026,sample_current
Kensizo,kensizor,B8,2026,Present,"Authentic B8 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,kensizo-b8-2026,current_reference
Essenth,esenthial,B8,2026,Present,"Authentic B8 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,essenth-b8-2026,current_reference
Sizzi,s1zzi,B8,2026,Present,"Authentic B8 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,sizzi-b8-2026,current_reference
MasvalX,MaSvAl,magic,2026,Present,"Authentic magic 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,masvalx-magic-2026,current_reference
S-Fade,sFade8,magic,2026,Present,"Authentic magic 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,s-fade-magic-2026,current_reference
A-Wing,AW,magic,2026,Present,"Authentic magic 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,a-wing-magic-2026,sample_current
Moon-O,mo0N,magic,2026,Present,"Authentic magic 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,moon-o-magic-2026,current_reference
Tenzin,tenzy,magic,2026,Present,"Authentic magic 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,tenzin-magic-2026,current_reference
V-Sim,vsm,paiN,2026,Present,"Authentic paiN 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,v-sim-pain-2026,current_reference
Bigu-Z,biguzera,paiN,2026,Present,"Authentic paiN 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,bigu-z-pain-2026,sample_current
Piria-J,piriajr,paiN,2026,Present,"Authentic paiN 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,piria-j-pain-2026,current_reference
Safir,saffee,paiN,2026,Present,"Authentic paiN 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,safir-pain-2026,current_reference
Snowy,snow,paiN,2026,Present,"Authentic paiN 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,snowy-pain-2026,current_reference
Lenz,LNZ,MIBR,2026,Present,"Authentic MIBR 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,lenz-mibr-2026,current_reference
Bronzan,brnz4n,MIBR,2026,Present,"Authentic MIBR 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,bronzan-mibr-2026,current_reference
Insano,insani,MIBR,2026,Present,"Authentic MIBR 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,insano-mibr-2026,sample_current
Venom-Z,venomzera,MIBR,2026,Present,"Authentic MIBR 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,venom-z-mibr-2026,current_reference
Klimm,kl1m,MIBR,2026,Present,"Authentic MIBR 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,klimm-mibr-2026,current_reference
Maxo,max,9z,2026,Present,"Authentic 9z 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,maxo-9z-2026,current_reference
Digit,dgt,9z,2026,Present,"Authentic 9z 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,digit-9z-2026,sample_current
Meyer-N,meyern,9z,2026,Present,"Authentic 9z 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,meyer-n-9z-2026,current_reference
Lucho-V,luchov,9z,2026,Present,"Authentic 9z 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,lucho-v-9z-2026,current_reference
Huaso-P,HUASOPEEK,9z,2026,Present,"Authentic 9z 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,huaso-p-9z-2026,current_reference
Zyvo,ZywOo,Vitality,2018,Present,"Authentic Vitality esports jersey from 2018-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=ZywOo,zyvo-vitality-2018,sample_history
Alek-C,Aleksib,ENCE,2018,2019,"Authentic ENCE esports jersey from 2018-2019; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Aleksib,alek-c-ence-2018,sample_history
Alek-C,Aleksib,OG,2019,2022,"Authentic OG esports jersey from 2019-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Aleksib,alek-c-og-2019,sample_history
Alek-C,Aleksib,G2,2022,2023,"Authentic G2 esports jersey from 2022-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Aleksib,alek-c-g2-2022,sample_history
Alek-C,Aleksib,Ninjas in Pyjamas,2023,2023,"Authentic Ninjas in Pyjamas esports jersey from 2023-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Aleksib,alek-c-ninjas-in-pyjamas-2023,sample_history
Alek-C,Aleksib,Natus Vincere,2023,Present,"Authentic Natus Vincere esports jersey from 2023-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Aleksib,alek-c-natus-vincere-2023,sample_history
Donko,donk,Spirit Academy,2021,2023,"Authentic Spirit Academy esports jersey from 2021-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=donk,donko-spirit-academy-2021,sample_history
Donko,donk,Spirit,2023,Present,"Authentic Spirit esports jersey from 2023-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=donk,donko-spirit-2023,sample_history
Moness,m0NESY,NAVI Junior,2020,2022,"Authentic NAVI Junior esports jersey from 2020-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=m0NESY,moness-navi-junior-2020,sample_history
Moness,m0NESY,G2,2022,2025,"Authentic G2 esports jersey from 2022-2025; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=m0NESY,moness-g2-2022,sample_history
Moness,m0NESY,Falcons,2026,Present,"Authentic Falcons esports jersey from 2026-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=m0NESY,moness-falcons-2026,sample_history
Falleno,FalleN,Luminosity / SK,2015,2018,"Authentic Luminosity / SK esports jersey from 2015-2018; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=FalleN,falleno-luminosity---sk-2015,sample_history
Falleno,FalleN,MIBR,2018,2021,"Authentic MIBR esports jersey from 2018-2021; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=FalleN,falleno-mibr-2018,sample_history
Falleno,FalleN,Liquid,2021,2021,"Authentic Liquid esports jersey from 2021-2021; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=FalleN,falleno-liquid-2021,sample_history
Falleno,FalleN,Imperial,2022,2023,"Authentic Imperial esports jersey from 2022-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=FalleN,falleno-imperial-2022,sample_history
Falleno,FalleN,FURIA,2023,Present,"Authentic FURIA esports jersey from 2023-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=FalleN,falleno-furia-2023,sample_history
Xantor,XANTARES,Space Soldiers,2015,2018,"Authentic Space Soldiers esports jersey from 2015-2018; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=XANTARES,xantor-space-soldiers-2015,sample_history
Xantor,XANTARES,BIG,2018,2021,"Authentic BIG esports jersey from 2018-2021; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=XANTARES,xantor-big-2018,sample_history
Xantor,XANTARES,Eternal Fire,2021,2025,"Authentic Eternal Fire esports jersey from 2021-2025; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=XANTARES,xantor-eternal-fire-2021,sample_history
Xantor,XANTARES,Aurora,2025,Present,"Authentic Aurora esports jersey from 2025-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=XANTARES,xantor-aurora-2025,sample_history
Arty,arT,FURIA,2018,2024,"Authentic FURIA esports jersey from 2018-2024; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=arT,arty-furia-2018,sample_history
Arty,arT,Fluxo,2024,2025,"Authentic Fluxo esports jersey from 2024-2025; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=arT,arty-fluxo-2024,sample_history
Arty,arT,Legacy,2026,Present,"Authentic Legacy esports jersey from 2026-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=arT,arty-legacy-2026,sample_history
Torzi,torzsi,MOUZ NXT,2021,2022,"Authentic MOUZ NXT esports jersey from 2021-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=torzsi,torzi-mouz-nxt-2021,sample_history
Torzi,torzsi,MOUZ,2022,Present,"Authentic MOUZ esports jersey from 2022-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=torzsi,torzi-mouz-2022,sample_history
BlitZed,bLitz,IHC / The MongolZ core,2022,2023,"Authentic IHC / The MongolZ core esports jersey from 2022-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=bLitz,blitzed-ihc---the-mongolz-core-2022,sample_history
