source_team,real_nickname,inspired_name,required_original_reference_path,reference_visual_anchor,similarity_target,comparison_status
Spirit,magixx,Magis,references/originals/Spirit/magixx.jpg,"Russia rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Spirit,tN1R,T-Nair,references/originals/Spirit/tN1R.jpg,"Belarus rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Spirit,zont1x,Zontix,references/originals/Spirit/zont1x.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Spirit,donk,Donko,references/originals/Spirit/donk.jpg,"Young lean Slavic prodigy, aggressive eyes, high-energy entry posture.","Medium-high archetype recognition through age, aggression, posture and hair/body type.",missing_original_reference
Falcons,karrigan,Karrin,references/originals/Falcons/karrigan.jpg,"Denmark IGL archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Falcons,NiKo,NicoK,references/originals/Falcons/NiKo.jpg,"Bosnia star rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Falcons,TeSeS,Tesesu,references/originals/Falcons/TeSeS.jpg,"Denmark rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Falcons,m0NESY,Moness,references/originals/Falcons/m0NESY.jpg,"Slim young sniper, lively eyes, youthful face, strong camera charisma.",Medium-high archetype recognition through youthful sniper aura and silhouette.,missing_original_reference
Falcons,kyousuke,Kyo-S,references/originals/Falcons/kyousuke.jpg,"Russia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FURIA,FalleN,Falleno,references/originals/FURIA/FalleN.jpg,"Mature Brazilian captain, older face impression, possible stubble, mentor posture.","Medium-high archetype recognition through age, mentor aura, Brazilian captain silhouette.",missing_original_reference
FURIA,yuurih,Yuri-H,references/originals/FURIA/yuurih.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FURIA,YEKINDAR,Yekindor,references/originals/FURIA/YEKINDAR.jpg,"Latvia entry archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FURIA,KSCERATO,K-Serat,references/originals/FURIA/KSCERATO.jpg,"Brazil star rifler / lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FURIA,molodoy,Molody,references/originals/FURIA/molodoy.jpg,"Kazakhstan AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Aurora,MAJ3R,MajorX,references/originals/Aurora/MAJ3R.jpg,"Turkey IGL archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Aurora,XANTARES,Xantor,references/originals/Aurora/XANTARES.jpg,"Turkish/Anatolian strong rifler, broad-shouldered pressure, intense expression.",Medium-high archetype recognition through hard rifler posture and Turkish styling.,missing_original_reference
Aurora,woxic,Woxik,references/originals/Aurora/woxic.jpg,"Turkey AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Aurora,soulfly,Soul-F,references/originals/Aurora/soulfly.jpg,"Turkey rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Aurora,Wicadia,Wikadia,references/originals/Aurora/Wicadia.jpg,"Turkey rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Legacy,arT,Arty,references/originals/Legacy/arT.jpg,"Brazilian aggressive caller, more chaotic and wild than a standard captain.",Medium-high archetype recognition through chaos-entry posture and expression.,missing_original_reference
Legacy,dumau,Dumao,references/originals/Legacy/dumau.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Legacy,latto,LattoX,references/originals/Legacy/latto.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Legacy,n1ssim,Nis-S,references/originals/Legacy/n1ssim.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Legacy,saadzin,Saad-Z,references/originals/Legacy/saadzin.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MOUZ,torzsi,Torzi,references/originals/MOUZ/torzsi.jpg,"Hungarian young AWPer, focused and slightly tense expression.",Medium-high archetype recognition through sniper posture and reference-specific hair/body anchors.,missing_original_reference
MOUZ,Spinx,Sphinx,references/originals/MOUZ/Spinx.jpg,"Israel rifler / lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MOUZ,xertioN,XertionX,references/originals/MOUZ/xertioN.jpg,"Israel entry / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MOUZ,xelex,Xelexa,references/originals/MOUZ/xelex.jpg,"Hungary rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
The MongolZ,bLitz,BlitZed,references/originals/The_MongolZ/bLitz.jpg,"Mongolian captain, Asian steppe identity, short hair, hard expression.","Medium-high archetype recognition through regional look, posture and captain aura.",missing_original_reference
The MongolZ,Techno,Tekno,references/originals/The_MongolZ/Techno.jpg,"Mongolia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
The MongolZ,mzinho,M-Zino,references/originals/The_MongolZ/mzinho.jpg,"Mongolia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
The MongolZ,910,Nine-Ten,references/originals/The_MongolZ/910.jpg,"Mongolia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
The MongolZ,cobrazera,Cobra-Z,references/originals/The_MongolZ/cobrazera.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
GamerLegion,Snax,Snaks,references/originals/GamerLegion/Snax.jpg,"Mature Polish veteran, thicker body impression allowed, sly expression.",Medium-high archetype recognition through veteran age/body/posture anchors.,missing_original_reference
GamerLegion,REZ,R-Ez,references/originals/GamerLegion/REZ.jpg,"Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
GamerLegion,Tauson,Tawson,references/originals/GamerLegion/Tauson.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
GamerLegion,PR,P-Rex,references/originals/GamerLegion/PR.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
GamerLegion,hypex,Hype-X,references/originals/GamerLegion/hypex.jpg,"Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
PARIVISION,Jame,Jaym,references/originals/PARIVISION/Jame.jpg,"CIS cold-faced sniper commander, emotionally flat expression.",Medium-high archetype recognition through cold sniper-IGL aura.,missing_original_reference
PARIVISION,BELCHONOKK,Belchon,references/originals/PARIVISION/BELCHONOKK.jpg,"CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
PARIVISION,xiELO,XieloX,references/originals/PARIVISION/xiELO.jpg,"CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
PARIVISION,nota,Noto,references/originals/PARIVISION/nota.jpg,"CIS support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
PARIVISION,zweih,Zwei-H,references/originals/PARIVISION/zweih.jpg,"CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Astralis,HooXi,HooxiX,references/originals/Astralis/HooXi.jpg,"Danish quiet commander, slimmer long face impression, tactical calm.",Medium-high archetype recognition through Danish IGL styling and posture.,missing_original_reference
Astralis,phzy,Phazy,references/originals/Astralis/phzy.jpg,"Sweden AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Astralis,jabbi,Jabby,references/originals/Astralis/jabbi.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Astralis,Staehr,Staer,references/originals/Astralis/Staehr.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Astralis,ryu,Ryuu,references/originals/Astralis/ryu.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FUT,dem0n,Daemon,references/originals/FUT/dem0n.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FUT,lauNX,Lawn-X,references/originals/FUT/lauNX.jpg,"Romanian young rifler, restless eyes, quick energy.",Medium-high archetype recognition through youthful volatile rifler cues.,missing_original_reference
FUT,Krabeni,Kraben,references/originals/FUT/Krabeni.jpg,"Balkan rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FUT,cmtry,Cemtry,references/originals/FUT/cmtry.jpg,"Europe support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FUT,dziugss,Dziugs,references/originals/FUT/dziugss.jpg,"Lithuania rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
G2,huNter-,Huntor,references/originals/G2/huNter-.jpg,"Bosnia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
G2,NertZ,Nertzo,references/originals/G2/NertZ.jpg,"Israel rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
G2,SunPayus,Sun-Pai,references/originals/G2/SunPayus.jpg,"Spanish/Southern European sniper, warm gentle face impression, precise focus.",Medium-high archetype recognition through Spanish sniper cues and reference anchors.,missing_original_reference
G2,HeavyGod,HeavyG,references/originals/G2/HeavyGod.jpg,"Israel rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
G2,MATYS,MatysX,references/originals/G2/MATYS.jpg,"Slovakia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FaZe,frozen,Frozin,references/originals/FaZe/frozen.jpg,"Slovak cold rifler, polished icy expression, minimal emotion.",Medium-high archetype recognition through cold posture and reference hair/body anchors.,missing_original_reference
FaZe,Twistzz,Twizter,references/originals/FaZe/Twistzz.jpg,"Canada rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FaZe,broky,Brokai,references/originals/FaZe/broky.jpg,"Latvia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
FaZe,jcobbb,J-Cobb,references/originals/FaZe/jcobbb.jpg,"Poland rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
B8,alex666,Alex-6,references/originals/B8/alex666.jpg,"Ukraine IGL / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
B8,npl,NPL-9,references/originals/B8/npl.jpg,"Young Ukrainian rifler, pressure-tested expression, stubborn eyes.",Medium-high archetype recognition through Ukrainian young comeback cues.,missing_original_reference
B8,kensizor,Kensizo,references/originals/B8/kensizor.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
B8,esenthial,Essenth,references/originals/B8/esenthial.jpg,"Ukraine support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
B8,s1zzi,Sizzi,references/originals/B8/s1zzi.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
magic,MaSvAl,MasvalX,references/originals/magic/MaSvAl.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
magic,sFade8,S-Fade,references/originals/magic/sFade8.jpg,"Europe lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
magic,AW,A-Wing,references/originals/magic/AW.jpg,European sniper with hawk-like sharp eyes and mysterious short-name aura.,Medium-high archetype recognition through sharp sniper cues.,missing_original_reference
magic,mo0N,Moon-O,references/originals/magic/mo0N.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
magic,tenzy,Tenzin,references/originals/magic/tenzy.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
paiN,vsm,V-Sim,references/originals/paiN/vsm.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
paiN,biguzera,Bigu-Z,references/originals/paiN/biguzera.jpg,"Brazilian captain, heavier/sturdier body impression, strong team-soul presence.","Medium-high archetype recognition through body type, captain aura and Brazilian cues.",missing_original_reference
paiN,piriajr,Piria-J,references/originals/paiN/piriajr.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
paiN,saffee,Safir,references/originals/paiN/saffee.jpg,"Brazil AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
paiN,snow,Snowy,references/originals/paiN/snow.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MIBR,LNZ,Lenz,references/originals/MIBR/LNZ.jpg,"Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MIBR,brnz4n,Bronzan,references/originals/MIBR/brnz4n.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MIBR,insani,Insano,references/originals/MIBR/insani.jpg,"Brazilian young star, wilder expression, intense face energy.",Medium-high archetype recognition through wild genius cues and reference anchors.,missing_original_reference
MIBR,venomzera,Venom-Z,references/originals/MIBR/venomzera.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
MIBR,kl1m,Klimm,references/originals/MIBR/kl1m.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
9z,max,Maxo,references/originals/9z/max.jpg,"Uruguay IGL / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
9z,dgt,Digit,references/originals/9z/dgt.jpg,"Uruguayan/Latin American hard young rifler, direct eye contact and sharp posture.",Medium-high archetype recognition through Latin American regional cues and posture.,missing_original_reference
9z,meyern,Meyer-N,references/originals/9z/meyern.jpg,"Argentina rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
9z,luchov,Lucho-V,references/originals/9z/luchov.jpg,"Argentina rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
9z,HUASOPEEK,Huaso-P,references/originals/9z/HUASOPEEK.jpg,"Chile rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
